k,mu,R,cert,discovery_minus_cert,relative_cert_gap,cert_midpoint,cert_status,log_k,ceiling,headroom,log_k_minus_R,c,weight,rank_num,rank_den,cond,nit,moved_log_c,gate_failed_coords,spread,c_log_k,E_S,sd_S,eta
4100,1,8.11299834,8.1129124192,8.59208000001388e-05,1.0590511226474477e-05,8.1129227606,PASS,8.31874225,8.32077171,0.207773,0.205744,0.12308115,1.0,1,1,1.0,56,0.0078,0,1.0,1.02388036301,1.1586554734,0.350262834448,-0.45296119883
4200,1,8.13667829,8.1365901624,8.812760000154185e-05,1.0830906281479865e-05,8.1366004763,PASS,8.3428398,8.34482667,0.208148,0.206162,0.12271019,1.0,1,1,1.0,64,0.0077,0,1.0,1.02375145752,1.15849044812,0.349746844971,-0.453157620703
4300,1,8.15980393,8.1597135914,9.033860000151606e-05,1.10711728831352e-05,8.1597238801,PASS,8.3663703,8.36831642,0.208512,0.206566,0.12235017,1.0,1,1,1.0,56,0.0077,0,1.0,1.02362682869,1.15832970035,0.349245093388,-0.4533483887
4400,1,8.18240065,8.1823086084,9.204160000031436e-05,1.1248728085725595e-05,8.1823183725,PASS,8.38935982,8.39126693,0.208866,0.206959,0.12200035,1.0,1,1,1.0,66,0.0076,0,1.0,1.0235048343,1.15817160302,0.348756627402,-0.453530028076
4500,1,8.20449214,8.2043979138,9.422619999988058e-05,1.1484708424607082e-05,8.2044076319,PASS,8.41183268,8.41370239,0.20921,0.207341,0.12166053,1.0,1,1,1.0,63,0.0075,0,1.0,1.0233880216,1.15801876572,0.348281254955,-0.453710222613
4600,1,8.22610053,8.2260041179,9.641209999955436e-05,1.1720267658770559e-05,8.2260137916,PASS,8.43381158,8.43564542,0.209545,0.207711,0.12133013,1.0,1,1,1.0,59,0.0074,0,1.0,1.0232754557,1.15787027008,0.347818234868,-0.453887272876
4700,1,8.24724653,8.2471479361,9.859390000066526e-05,1.1954765707805907e-05,8.2471575664,PASS,8.45531779,8.45711717,0.209871,0.208071,0.12100842,1.0,1,1,1.0,63,0.0074,1,1.0,1.02316464609,1.15772361723,0.34736660276,-0.45405521421
4800,1,8.26794954,8.2678487597,0.00010078030000038041,1.2189273714457188e-05,8.2678583481,PASS,8.4763712,8.47813748,0.210188,0.208422,0.12069534,1.0,1,1,1.0,74,0.0073,0,1.0,1.02305850358,1.15758177724,0.346926345907,-0.454222572322
4900,1,8.28822776,8.2881248007,0.00010295929999948328,1.2422354088334475e-05,8.2881343484,PASS,8.49699048,8.49872492,0.210497,0.208763,0.12039029,1.0,1,1,1.0,75,0.0073,0,1.0,1.02295514851,1.15744286433,0.346496672807,-0.454384923967
5000,1,8.3080983,8.3079931686,0.0001051313999997916,1.2654087157321141e-05,8.3080026766,PASS,8.51719319,8.51889697,0.210799,0.209095,0.12009279,1.0,1,1,1.0,73,0.0072,0,1.0,1.02285349333,1.15730579177,0.346076957225,-0.454539918026
5100,1,8.32757726,8.3274699527,0.00010730730000041433,1.2885776577041848e-05,8.3274794219,PASS,8.53699582,8.53867007,0.211093,0.209419,0.11980257,1.0,1,1,1.0,59,0.0071,0,1.0,1.02275403916,1.15717108132,0.345666869258,-0.454689457677
5200,1,8.34667979,8.3465703144,0.00010947560000040824,1.3116065639845067e-05,8.3465797458,PASS,8.5564139,8.55805969,0.21138,0.209734,0.11951918,1.0,1,1,1.0,66,0.0071,0,1.0,1.02265557361,1.15703751512,0.345265815418,-0.454830765472
5300,1,8.36542016,8.3653085217,0.0001116382999999388,1.334521134201331e-05,8.3653179167,PASS,8.5754621,8.57708042,0.21166,0.210042,0.11924305,1.0,1,1,1.0,57,0.007,0,1.0,1.02256425591,1.15691135339,0.34487446696,-0.454981068263
5400,1,8.3838119,8.3836980948,0.00011380519999981686,1.3574398061079694e-05,8.3837074542,PASS,8.59415423,8.59574604,0.211934,0.210342,0.11897313,1.0,1,1,1.0,61,0.007,0,1.0,1.02247342875,1.15678585166,0.34449135795,-0.45512274269
5500,1,8.40186774,8.4017517832,0.00011595680000020536,1.380131223063092e-05,8.4017611076,PASS,8.61250337,8.61406957,0.212202,0.210636,0.11870927,1.0,1,1,1.0,57,0.0069,1,1.0,1.02238398807,1.15666192656,0.344116315423,-0.455258642327
5600,1,8.41959976,8.4194816448,0.0001181152000011565,1.4028600333509973e-05,8.4194909353,PASS,8.63052188,8.63206332,0.212464,0.210922,0.1184514,1.0,1,1,1.0,59,0.0069,0,1.0,1.02229739903,1.15654107257,0.343749279765,-0.455393165274
5700,1,8.43701937,8.4368991126,0.00012025739999899088,1.4253540821133718e-05,8.43690837,PASS,8.64822145,8.64973895,0.21272,0.211202,0.11819913,1.0,1,1,1.0,59,0.0068,0,1.0,1.02221225189,1.15642186454,0.343389725584,-0.455522844412
5800,1,8.45413741,8.4540150106,0.00012239940000036142,1.4478047145954945e-05,8.4540242357,PASS,8.6656132,8.66710753,0.21297,0.211476,0.11795242,1.0,1,1,1.0,57,0.0068,0,1.0,1.02213004732,1.15630583195,0.343037631664,-0.455652142865
5900,1,8.47096416,8.4708396265,0.00012453349999930197,1.4701219087592264e-05,8.4708488199,PASS,8.68270763,8.68417952,0.213215,0.211743,0.11771082,1.0,1,1,1.0,62,0.0067,0,1.0,1.02204863494,1.15619079498,0.342692379661,-0.455775512535
6000,1,8.48750937,8.4873827087,0.0001266612999994976,1.4923258930021966e-05,8.4873918713,PASS,8.69951475,8.70096491,0.213456,0.212005,0.11747443,1.0,1,1,1.0,61,0.0067,0,1.0,1.02197053632,1.15607931952,0.342354147295,-0.455900186252
6100,1,8.50378233,8.5036535477,0.0001287822999991306,1.5144119992912683e-05,8.5036626801,PASS,8.71604405,8.71747314,0.213691,0.212262,0.11724276,1.0,1,1,1.0,55,0.0066,1,1.0,1.02189306072,1.15596867454,0.342022252888,-0.456019084199
