k,log_k,delta_log_previous,eta_target,eta_actual,c,c_log_k,E_S,sd_S,R,cert,log_k_minus_R,log_k_minus_cert,discovery_minus_cert,ceiling,headroom_R,headroom_cert,rank,cond,cert_status,grid_type
229,5.43372200355424,0.022075951699199826,-0.4746,-0.47460000000008346,0.19967093994362178,1.084956379842015,1.207504415457214,0.43721958587690185,5.312133705309972,5.3121028779,0.12158829824426753,0.12161912565423982,3.082740997228939e-05,5.457554117604916,0.14542041229494362,0.1454512397049159,1,1.0,PASS,eta_fixed_geometric
234,5.455321115357702,0.02159911180346172,-0.4746,-0.4745999999999661,0.19874508228043278,1.0842182439379486,1.2071084478084397,0.4363852671901697,5.332697155259137,5.3326665895,0.12262396009856502,0.12265452585770209,3.056575913706894e-05,5.478734510702585,0.14603735544344865,0.14606792120258572,1,1.0,PASS,eta_fixed_geometric
239,5.476463551931511,0.021142436573809164,-0.4746,-0.47459999999994046,0.1978474211115507,1.0835041905610525,1.206722350777644,0.43557174626563383,5.352834608172834,5.3528042923,0.12362894375867661,0.12365925963151092,3.031587283430781e-05,5.499473902990046,0.14663929481721194,0.14666961069004625,1,1.0,PASS,eta_fixed_geometric
244,5.497168225293202,0.0207046733616912,-0.4746,-0.47460000000008806,0.196976494193647,1.0828129250109673,1.206345685367109,0.43477809811856466,5.3725634436420835,5.3725333664,0.12460478165111866,0.12463485889320225,3.0077242083592637e-05,5.519790316755315,0.14722687311323135,0.14725695035531494,1,1.0,PASS,eta_fixed_geometric
249,5.517452896464707,0.020284671171505717,-0.4746,-0.47459999999999586,0.196130944544338,1.0821432480625166,1.2059780402918951,0.43400345615654645,5.391899996294049,5.3918701471,0.1255529001706588,0.1255827493647077,2.9849194048914285e-05,5.539700690402066,0.14780069410801744,0.14783054330206635,1,1.0,PASS,eta_fixed_geometric
255,5.541263545158426,0.023810648693718607,-0.4746,-0.4745999999999431,0.19514801325348713,1.0813665717516416,1.205548231486365,0.4330978328832483,5.414607626506368,5.4145780378,0.12665591865205794,0.12668550735842565,2.958870636771138e-05,5.563079543367711,0.1484719168613431,0.1485015055677108,1,1.0,PASS,eta_fixed_geometric
261,5.564520407322694,0.023256862164267183,-0.4746,-0.47459999999992064,0.19419779813186927,1.0806176107619194,1.205130235144607,0.43221709891411975,5.436797345101261,5.4367680034,0.12772306222143293,0.1277524039226936,2.93417012606767e-05,5.58592240888932,0.149125063788059,0.14915440548931969,1,1.0,PASS,eta_fixed_geometric
267,5.58724865840025,0.02272825107755609,-0.4746,-0.47459999999994507,0.19327844579179304,1.079894736947881,1.2047234729170326,0.4313600356448722,5.458492361706609,5.4584632544,0.12875629669364042,0.12878540400024985,2.9107306609432726e-05,5.608253352604762,0.14976099089815254,0.14979009820476197,1,1.0,PASS,eta_fixed_geometric
273,5.60947179518496,0.022223136784710256,-0.4746,-0.47459999999995095,0.19238824840877533,1.079196453174063,1.2043274065788852,0.430525509015816,5.479714356285652,5.4796854715,0.1297574388993077,0.1297863236849599,2.888478565221675e-05,5.630094853255493,0.15038049696984057,0.1504093817554928,1,1.0,PASS,eta_fixed_geometric
279,5.631211781821365,0.02173998663640582,-0.4746,-0.4745999999999821,0.19152562927104042,1.0785213800718338,1.2039415344641624,0.42971246199783,5.500483610860583,5.5004549374,0.13072817096078282,0.1307568444213656,2.8673460582773203e-05,5.651467939309931,0.15098432844934884,0.1510130019099316,1,1.0,PASS,eta_fixed_geometric
285,5.652489180268651,0.02127739844728488,-0.4746,-0.47459999999999014,0.190689130048662,1.0778682443949037,1.203565388282819,0.42891990788626894,5.520819127354196,5.5207906547,0.13167005291445477,0.13169852556865091,2.847265419614331e-05,5.6723923111850905,0.15157318383089446,0.1516016564850906,1,1.0,PASS,eta_fixed_geometric
291,5.673323267171493,0.020834086902842053,-0.4746,-0.47459999999990016,0.1898773995453784,1.0772358687508132,1.2031985302734782,0.42814692430156126,5.540738733254757,5.5407104515,0.1325845339167362,0.13261281567149297,2.8281754756775968e-05,5.692886450851394,0.15214771759663748,0.15217599935139425,1,1.0,PASS,eta_fixed_geometric
297,5.6937321388027,0.020408871631207033,-0.4746,-0.47460000000002184,0.18908918373299755,1.0766231625205367,1.2028405506504602,0.4273926478096311,5.560259176575119,5.5602310762,0.13347296222758054,0.13350106260269978,2.8100375119244347e-05,5.712967720352708,0.1527085437775888,0.15273664415270805,1,1.0,PASS,eta_fixed_geometric
303,5.713732805509369,0.020000666706669435,-0.4746,-0.4745999999999446,0.18832331689867854,1.0760291138063165,1.2024910653087761,0.42665626908723087,5.579396211411302,5.5793682836,0.13433659409806697,0.13436452190936876,2.7927811301786676e-05,5.732652450560724,0.15325623914942188,0.15328416696072367,1,1.0,PASS,eta_fixed_geometric
310,5.736572297479192,0.022839491969822736,-0.4746,-0.4746000000000354,0.18745660847814088,1.075358387175106,1.2020935885315573,0.42581877061007645,5.601257913315336,5.6012301761,0.13531438416385644,0.13534212137919255,2.7737215336109955e-05,5.755137256370711,0.1538793430553751,0.1539070802707112,1,1.0,PASS,eta_fixed_geometric
317,5.75890177387728,0.022329476398088577,-0.4746,-0.47459999999996483,0.18661724727412793,1.0747103963630704,1.2017066483649268,0.42500347316675463,5.622640028022532,5.6226124707,0.13626174585474793,0.13628930317728027,2.7557322532345552e-05,5.777126146579424,0.15448611855689176,0.1545136758794241,1,1.0,PASS,eta_fixed_geometric
324,5.780743515792329,0.021841741915048854,-0.4746,-0.47459999999999775,0.18580375779693034,1.0740838680944536,1.2013297462323498,0.42420932623757,5.643563235495378,5.6435358479,0.13718028029695084,0.13720766789232908,2.738759537823654e-05,5.7986405545409125,0.15507731904553435,0.15510470664091258,1,1.0,PASS,eta_fixed_geometric
331,5.802118375377063,0.021374859584733612,-0.4746,-0.4745999999999381,0.185014775213241,1.0734776269810025,1.2009624170288427,0.4234353498290536,5.664046903494268,5.6640196759,0.13807147188279512,0.1380986994770632,2.7227594268097732e-05,5.8197005522721446,0.1556536487778768,0.1556808763721449,1,1.0,PASS,eta_fixed_geometric
338,5.823045895483019,0.02092752010595582,-0.4746,-0.4746000000000182,0.18424903483671334,1.0728905860526314,1.2006042262396477,0.4226806284021071,5.684109196442601,5.6840821199,0.13893669904041772,0.13896377558301864,2.7076542600923403e-05,5.8403249634221375,0.15621576697953632,0.15624284352213724,1,1.0,PASS,eta_fixed_geometric
345,5.84354441703136,0.02049852154834097,-0.4746,-0.4745999999999953,0.1835053628167065,1.0723217383828796,1.2002547673585375,0.4219443054330795,5.7037671732197746,5.7037402391,0.13977724381158563,0.13980417793136013,2.6934119774502108e-05,5.860531464755288,0.15676429153551386,0.15679122565528836,1,1.0,PASS,eta_fixed_geometric
352,5.863631175598097,0.020086758566737292,-0.4746,-0.47459999999992336,0.18278266786705138,1.071770149664235,1.199913659570808,0.4212255785310583,5.72303687521313,5.7230100753,0.14059430038496679,0.14062110029809638,2.6799913129593733e-05,5.8803366775228785,0.1572998023097485,0.1573266022228781,1,1.0,PASS,eta_fixed_geometric
360,5.886104031450156,0.022472855852058576,-0.4746,-0.4745999999999954,0.18198111674562123,1.0711597849242025,1.1995335907105709,0.4204247591878904,5.744603287601594,5.7445766317,0.14150074384856204,0.1415273997501556,2.6655901593564124e-05,5.902499864406841,0.15789657680524716,0.15792323270684072,1,1.0,PASS,eta_fixed_geometric
368,5.908082938168931,0.021978906718775167,-0.4746,-0.4746000000000199,0.18120423173922584,1.0705696298625293,1.1991634649094196,0.41964489024317586,5.76570343062925,5.7656769093,0.14237950753968143,0.1424060288689315,2.6521329250073222e-05,5.9241812568015435,0.15847782617229367,0.15850434750154374,1,1.0,PASS,eta_fixed_geometric
376,5.929589143389895,0.021506205220963682,-0.4746,-0.4746000000000389,0.18045071092487533,1.069998576417129,1.1988028173009768,0.41888499220598513,5.786357119165595,5.7863307234,0.14323202422429926,0.14325841998989475,2.6395765595488285e-05,5.945401381105601,0.15904426194000543,0.15907065770560092,1,1.0,PASS,eta_fixed_geometric
